,company_name,name_of_revenue_stream,paid_to,value_reported
0,Myo Nwe Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Shining Star Light Gems Jewellery,Sale Split,Myanmar Gems Enterprise,1235660614.74
0,Shining Star Light Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,373909040.5
0,Shining Star Light Gems Jewellery,Emporium Fees,Central Comittee,167554219.9
0,Shining Star Light Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Shining Star Light Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,112935320.0
0,Shining Star Light Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Shining Star Light Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,5100000.0
0,Shining Star Light Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,48073536.4
0,Shining Star Light Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,2585225665.1
0,Shining Star Light Gems Jewellery,Corporate Income Tax,Internal Revenue Department,359639988.0
0,Shining Star Light Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Shining Star Light Gems Jewellery,Customs Duties,Customs Department,32728989.0
0,Shining Star Light Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Khun PaOh Gems Jewellery,Sale Split,Myanmar Gems Enterprise,2056951933.94
0,Khun PaOh Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,631267484.76
0,Khun PaOh Gems Jewellery,Emporium Fees,Central Comittee,89159156.66
0,Khun PaOh Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Khun PaOh Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,388774380.0
0,Khun PaOh Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Khun PaOh Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,28999999.0
0,Khun PaOh Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,81244817.58
0,Khun PaOh Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,1387408441.46
0,Khun PaOh Gems Jewellery,Corporate Income Tax,Internal Revenue Department,1375645.0
0,Khun PaOh Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Khun PaOh Gems Jewellery,Customs Duties,Customs Department,0.0
0,Khun PaOh Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Kan Pwint Oo Gems Jewellery,Sale Split,Myanmar Gems Enterprise,13575208.0074
0,Kan Pwint Oo Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,733141.72
0,Kan Pwint Oo Gems Jewellery,Emporium Fees,Central Comittee,12181741.66
0,Kan Pwint Oo Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kan Pwint Oo Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,0.0
0,Kan Pwint Oo Gems Jewellery,Production Royalties,Department of Mines,50983040.0
0,Kan Pwint Oo Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,897960000.0
0,Kan Pwint Oo Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,188019.74
0,Kan Pwint Oo Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,64306662.08
0,Kan Pwint Oo Gems Jewellery,Corporate Income Tax,Internal Revenue Department,0.0
0,Kan Pwint Oo Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Kan Pwint Oo Gems Jewellery,Customs Duties,Customs Department,0.0
0,Kan Pwint Oo Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Green Comet Gems,Sale Split,Myanmar Gems Enterprise,0.0
0,Green Comet Gems,Sales Royalties,Myanmar Gems Enterprise,0.0
0,Green Comet Gems,Emporium Fees,Central Comittee,118571279.0
0,Green Comet Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Green Comet Gems,Production Royalties,Myanmar Gems Enterprise,67006420.0
0,Green Comet Gems,Production Royalties,Department of Mines,0.0
0,Green Comet Gems,Permit Fees,Myanmar Gems Enterprise,836600000.0
0,Green Comet Gems,Incentive Fees,Myanmar Gems Enterprise,0.0
0,Green Comet Gems,Commercial Tax,Myanmar Gems Enterprise,1599376816.0
0,Green Comet Gems,Corporate Income Tax,Internal Revenue Department,157692510.0
0,Green Comet Gems,Commercial Tax,Internal Revenue Department,273846304.431
0,Green Comet Gems,Customs Duties,Customs Department,44083964.0
0,Green Comet Gems,Sales Royalties,Internal Revenue Department,0.0
0,Thi Raw Mani Gems Jewellery,Sale Split,Myanmar Gems Enterprise,806074550.48
0,Thi Raw Mani Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,219185026.4
0,Thi Raw Mani Gems Jewellery,Emporium Fees,Central Comittee,35650876.72
0,Thi Raw Mani Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Thi Raw Mani Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,173944000.0
0,Thi Raw Mani Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Thi Raw Mani Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,540000000.0
0,Thi Raw Mani Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,28181318.44
0,Thi Raw Mani Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,581255446.42
0,Thi Raw Mani Gems Jewellery,Corporate Income Tax,Internal Revenue Department,11089688.0
0,Thi Raw Mani Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Thi Raw Mani Gems Jewellery,Customs Duties,Customs Department,0.0
0,Thi Raw Mani Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Myanma Seinn Lei Aung Gems,Sale Split,Myanmar Gems Enterprise,736384324.62
0,Myanma Seinn Lei Aung Gems,Sales Royalties,Myanmar Gems Enterprise,224434699.86
0,Myanma Seinn Lei Aung Gems,Emporium Fees,Central Comittee,29789882.78
0,Myanma Seinn Lei Aung Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myanma Seinn Lei Aung Gems,Production Royalties,Myanmar Gems Enterprise,0.0
0,Myanma Seinn Lei Aung Gems,Production Royalties,Department of Mines,68012632.0
0,Myanma Seinn Lei Aung Gems,Permit Fees,Myanmar Gems Enterprise,2227260000.0
0,Myanma Seinn Lei Aung Gems,Incentive Fees,Myanmar Gems Enterprise,29099774.58
0,Myanma Seinn Lei Aung Gems,Commercial Tax,Myanmar Gems Enterprise,495886304.46
0,Myanma Seinn Lei Aung Gems,Corporate Income Tax,Internal Revenue Department,0.0
0,Myanma Seinn Lei Aung Gems,Commercial Tax,Internal Revenue Department,0.0
0,Myanma Seinn Lei Aung Gems,Customs Duties,Customs Department,0.0
0,Myanma Seinn Lei Aung Gems,Sales Royalties,Internal Revenue Department,0.0
0,Nay La Pwint Gems Co Ltd,Sale Split,Myanmar Gems Enterprise,624246777.04
0,Nay La Pwint Gems Co Ltd,Sales Royalties,Myanmar Gems Enterprise,193062456.48
0,Nay La Pwint Gems Co Ltd,Emporium Fees,Central Comittee,27457721.64
0,Nay La Pwint Gems Co Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Nay La Pwint Gems Co Ltd,Production Royalties,Myanmar Gems Enterprise,0.0
0,Nay La Pwint Gems Co Ltd,Production Royalties,Department of Mines,84050500.0
0,Nay La Pwint Gems Co Ltd,Permit Fees,Myanmar Gems Enterprise,731600000.0
0,Nay La Pwint Gems Co Ltd,Incentive Fees,Myanmar Gems Enterprise,24822352.5482
0,Nay La Pwint Gems Co Ltd,Commercial Tax,Myanmar Gems Enterprise,455976315.76
0,Nay La Pwint Gems Co Ltd,Corporate Income Tax,Internal Revenue Department,2896088.0
0,Nay La Pwint Gems Co Ltd,Commercial Tax,Internal Revenue Department,0.0
0,Nay La Pwint Gems Co Ltd,Customs Duties,Customs Department,0.0
0,Nay La Pwint Gems Co Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Sale Split,Myanmar Gems Enterprise,713472646.74
0,Myanmar Win Gate Gems Jewellery Mining,Sales Royalties,Myanmar Gems Enterprise,205083545.9
0,Myanmar Win Gate Gems Jewellery Mining,Emporium Fees,Central Comittee,26367401.38
0,Myanmar Win Gate Gems Jewellery Mining,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Production Royalties,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Production Royalties,Department of Mines,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Permit Fees,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Incentive Fees,Myanmar Gems Enterprise,26367401.38
0,Myanmar Win Gate Gems Jewellery Mining,Commercial Tax,Myanmar Gems Enterprise,479920681.82
0,Myanmar Win Gate Gems Jewellery Mining,Corporate Income Tax,Internal Revenue Department,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Commercial Tax,Internal Revenue Department,0.0
