,company_name,name_of_revenue_stream,paid_to,value_reported
0,Phyo Thiha Kyaw Gems,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Phyo Thiha Kyaw Gems,Corporate Income Tax,Internal Revenue Department,0.0
0,Phyo Thiha Kyaw Gems,Commercial Tax,Internal Revenue Department,0.0
0,Phyo Thiha Kyaw Gems,Customs Duties,Customs Department,0.0
0,Phyo Thiha Kyaw Gems,Sales Royalties,Internal Revenue Department,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Sale Split,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Sales Royalties,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Emporium Fees,Central Comittee,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Production Royalties,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Production Royalties,Department of Mines,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Permit Fees,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Incentive Fees,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Corporate Income Tax,Internal Revenue Department,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Commercial Tax,Internal Revenue Department,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Customs Duties,Customs Department,0.0
0,Myanma Gon Yi Gems Jewellery Kaung Myat Thukha Company Limited,Sales Royalties,Internal Revenue Department,0.0
0,Kyaw Naing Brothers,Sale Split,Myanmar Gems Enterprise,0.0
0,Kyaw Naing Brothers,Sales Royalties,Myanmar Gems Enterprise,763924938.0
0,Kyaw Naing Brothers,Emporium Fees,Central Comittee,104055066.0
0,Kyaw Naing Brothers,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kyaw Naing Brothers,Production Royalties,Myanmar Gems Enterprise,17270100.0
0,Kyaw Naing Brothers,Production Royalties,Department of Mines,0.0
0,Kyaw Naing Brothers,Permit Fees,Myanmar Gems Enterprise,73320000.0
0,Kyaw Naing Brothers,Incentive Fees,Myanmar Gems Enterprise,0.0
0,Kyaw Naing Brothers,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Kyaw Naing Brothers,Corporate Income Tax,Internal Revenue Department,226222686.0
0,Kyaw Naing Brothers,Commercial Tax,Internal Revenue Department,565556716.0
0,Kyaw Naing Brothers,Customs Duties,Customs Department,0.0
0,Kyaw Naing Brothers,Sales Royalties,Internal Revenue Department,0.0
0,Kyay Sin Phyu,Sale Split,Myanmar Gems Enterprise,0.0
0,Kyay Sin Phyu,Sales Royalties,Myanmar Gems Enterprise,0.0
0,Kyay Sin Phyu,Emporium Fees,Central Comittee,0.0
0,Kyay Sin Phyu,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kyay Sin Phyu,Production Royalties,Myanmar Gems Enterprise,0.0
0,Kyay Sin Phyu,Production Royalties,Department of Mines,0.0
0,Kyay Sin Phyu,Permit Fees,Myanmar Gems Enterprise,0.0
0,Kyay Sin Phyu,Incentive Fees,Myanmar Gems Enterprise,0.0
